INFO:2024-01-28 18:12:25,892: Epoch [1/1], Step [370/38250], Loss: 0.36621, Disc Loss: 0.00000, Dur Loss: 0.90807, CE Loss: 0.05742, Norm Loss: 1.56619, F0 Loss: 5.39622, LM Loss: 1.41390 
INFO:2024-01-28 18:12:40,435: Epoch [1/1], Step [380/38250], Loss: 0.38839, Disc Loss: 0.00000, Dur Loss: 0.80323, CE Loss: 0.05048, Norm Loss: 1.62371, F0 Loss: 5.00319, LM Loss: 1.36163 
INFO:2024-01-28 18:12:54,466: Epoch [1/1], Step [390/38250], Loss: 0.36947, Disc Loss: 0.00000, Dur Loss: 0.76985, CE Loss: 0.05277, Norm Loss: 1.70646, F0 Loss: 4.70384, LM Loss: 1.40741 
INFO:2024-01-28 18:13:06,178: Epoch [1/1], Step [400/38250], Loss: 0.35491, Disc Loss: 0.00000, Dur Loss: 0.91770, CE Loss: 0.05500, Norm Loss: 1.69120, F0 Loss: 5.26352, LM Loss: 1.52534 
INFO:2024-01-28 18:13:19,345: Epoch [1/1], Step [410/38250], Loss: 0.35789, Disc Loss: 0.00000, Dur Loss: 0.76252, CE Loss: 0.04818, Norm Loss: 1.34401, F0 Loss: 4.72324, LM Loss: 1.29426 
INFO:2024-01-28 18:13:32,951: Epoch [1/1], Step [420/38250], Loss: 0.35182, Disc Loss: 0.00000, Dur Loss: 0.86418, CE Loss: 0.06753, Norm Loss: 1.84413, F0 Loss: 5.33925, LM Loss: 1.37497 
INFO:2024-01-28 18:13:47,521: Epoch [1/1], Step [430/38250], Loss: 0.38490, Disc Loss: 0.00000, Dur Loss: 0.79874, CE Loss: 0.04755, Norm Loss: 1.51156, F0 Loss: 4.91079, LM Loss: 1.30111 
INFO:2024-01-28 18:14:00,731: Epoch [1/1], Step [440/38250], Loss: 0.35859, Disc Loss: 0.00000, Dur Loss: 0.69453, CE Loss: 0.04326, Norm Loss: 1.89368, F0 Loss: 4.53188, LM Loss: 1.28196 
INFO:2024-01-28 18:14:14,196: Epoch [1/1], Step [450/38250], Loss: 0.35071, Disc Loss: 0.00000, Dur Loss: 0.82527, CE Loss: 0.05272, Norm Loss: 1.49799, F0 Loss: 5.46198, LM Loss: 1.39054 
INFO:2024-01-28 18:14:25,807: Epoch [1/1], Step [460/38250], Loss: 0.35787, Disc Loss: 0.00000, Dur Loss: 0.82607, CE Loss: 0.05010, Norm Loss: 1.44816, F0 Loss: 6.63108, LM Loss: 1.31350 
INFO:2024-01-28 18:14:40,357: Epoch [1/1], Step [470/38250], Loss: 0.36358, Disc Loss: 0.00000, Dur Loss: 0.79385, CE Loss: 0.05490, Norm Loss: 1.66875, F0 Loss: 4.89506, LM Loss: 1.37571 
INFO:2024-01-28 18:14:53,225: Epoch [1/1], Step [480/38250], Loss: 0.35350, Disc Loss: 0.00000, Dur Loss: 0.93676, CE Loss: 0.07452, Norm Loss: 2.06066, F0 Loss: 6.61606, LM Loss: 1.41431 
INFO:2024-01-28 18:15:06,077: Epoch [1/1], Step [490/38250], Loss: 0.34520, Disc Loss: 0.00000, Dur Loss: 0.72861, CE Loss: 0.04103, Norm Loss: 1.37038, F0 Loss: 5.15913, LM Loss: 1.35070 
INFO:2024-01-28 18:15:20,163: Epoch [1/1], Step [500/38250], Loss: 0.37503, Disc Loss: 0.00000, Dur Loss: 0.80944, CE Loss: 0.05491, Norm Loss: 1.88087, F0 Loss: 5.87116, LM Loss: 1.57879 
INFO:2024-01-28 18:15:33,371: Epoch [1/1], Step [510/38250], Loss: 0.36550, Disc Loss: 0.00000, Dur Loss: 0.72469, CE Loss: 0.03932, Norm Loss: 1.60132, F0 Loss: 4.76491, LM Loss: 1.33404 
INFO:2024-01-28 18:15:47,173: Epoch [1/1], Step [520/38250], Loss: 0.36961, Disc Loss: 0.00000, Dur Loss: 0.77312, CE Loss: 0.04726, Norm Loss: 1.44935, F0 Loss: 4.77687, LM Loss: 1.30777 
INFO:2024-01-28 18:16:00,577: Epoch [1/1], Step [530/38250], Loss: 0.36718, Disc Loss: 0.00000, Dur Loss: 0.93581, CE Loss: 0.05627, Norm Loss: 1.56836, F0 Loss: 4.99965, LM Loss: 1.44624 
INFO:2024-01-28 18:16:12,982: Epoch [1/1], Step [540/38250], Loss: 0.34778, Disc Loss: 0.00000, Dur Loss: 0.91235, CE Loss: 0.05757, Norm Loss: 1.62997, F0 Loss: 5.52682, LM Loss: 1.53451 
INFO:2024-01-28 18:16:25,392: Epoch [1/1], Step [550/38250], Loss: 0.35369, Disc Loss: 0.00000, Dur Loss: 0.77614, CE Loss: 0.05009, Norm Loss: 1.19986, F0 Loss: 4.83403, LM Loss: 1.37256 
INFO:2024-01-28 18:16:38,831: Epoch [1/1], Step [560/38250], Loss: 0.34967, Disc Loss: 0.00000, Dur Loss: 0.69392, CE Loss: 0.04045, Norm Loss: 1.86972, F0 Loss: 5.95585, LM Loss: 1.44533 
INFO:2024-01-28 18:16:51,663: Epoch [1/1], Step [570/38250], Loss: 0.34905, Disc Loss: 0.00000, Dur Loss: 0.89829, CE Loss: 0.05199, Norm Loss: 1.50095, F0 Loss: 4.93674, LM Loss: 1.40504 
INFO:2024-01-28 18:17:05,119: Epoch [1/1], Step [580/38250], Loss: 0.34018, Disc Loss: 0.00000, Dur Loss: 0.82109, CE Loss: 0.04726, Norm Loss: 1.43577, F0 Loss: 5.00816, LM Loss: 1.31388 
INFO:2024-01-28 18:17:18,399: Epoch [1/1], Step [590/38250], Loss: 0.35420, Disc Loss: 0.00000, Dur Loss: 0.81673, CE Loss: 0.04804, Norm Loss: 1.21086, F0 Loss: 3.94733, LM Loss: 1.27095 
INFO:2024-01-28 18:17:32,207: Epoch [1/1], Step [600/38250], Loss: 0.35830, Disc Loss: 0.00000, Dur Loss: 0.87264, CE Loss: 0.05389, Norm Loss: 1.59413, F0 Loss: 4.94690, LM Loss: 1.35903 
INFO:2024-01-28 18:17:45,550: Epoch [1/1], Step [610/38250], Loss: 0.35672, Disc Loss: 0.00000, Dur Loss: 0.74235, CE Loss: 0.03985, Norm Loss: 1.50566, F0 Loss: 4.50834, LM Loss: 1.31766 
INFO:2024-01-28 18:17:58,613: Epoch [1/1], Step [620/38250], Loss: 0.34657, Disc Loss: 0.00000, Dur Loss: 0.72611, CE Loss: 0.04019, Norm Loss: 1.73656, F0 Loss: 4.54694, LM Loss: 1.32642 
INFO:2024-01-28 18:18:13,277: Epoch [1/1], Step [630/38250], Loss: 0.34766, Disc Loss: 0.00000, Dur Loss: 1.09638, CE Loss: 0.06779, Norm Loss: 1.55902, F0 Loss: 5.07891, LM Loss: 1.35378 
INFO:2024-01-28 18:18:26,826: Epoch [1/1], Step [640/38250], Loss: 0.34871, Disc Loss: 0.00000, Dur Loss: 0.99975, CE Loss: 0.06597, Norm Loss: 1.78713, F0 Loss: 5.97532, LM Loss: 1.46178 
INFO:2024-01-28 18:18:40,801: Epoch [1/1], Step [650/38250], Loss: 0.33847, Disc Loss: 0.00000, Dur Loss: 0.65886, CE Loss: 0.03660, Norm Loss: 1.52401, F0 Loss: 4.44402, LM Loss: 1.18768 
INFO:2024-01-28 18:18:54,849: Epoch [1/1], Step [660/38250], Loss: 0.33812, Disc Loss: 0.00000, Dur Loss: 0.97198, CE Loss: 0.05185, Norm Loss: 1.28372, F0 Loss: 4.98696, LM Loss: 1.34537 
INFO:2024-01-28 18:19:07,984: Epoch [1/1], Step [670/38250], Loss: 0.32981, Disc Loss: 0.00000, Dur Loss: 0.87958, CE Loss: 0.04516, Norm Loss: 1.53155, F0 Loss: 5.60056, LM Loss: 1.32201 
INFO:2024-01-28 18:19:21,373: Epoch [1/1], Step [680/38250], Loss: 0.35178, Disc Loss: 0.00000, Dur Loss: 0.83841, CE Loss: 0.04546, Norm Loss: 1.39932, F0 Loss: 4.43337, LM Loss: 1.21159 
INFO:2024-01-28 18:19:36,093: Epoch [1/1], Step [690/38250], Loss: 0.34935, Disc Loss: 0.00000, Dur Loss: 0.96227, CE Loss: 0.05606, Norm Loss: 1.50644, F0 Loss: 4.85118, LM Loss: 1.38175 
INFO:2024-01-28 18:19:49,811: Epoch [1/1], Step [700/38250], Loss: 0.35921, Disc Loss: 0.00000, Dur Loss: 1.06160, CE Loss: 0.06330, Norm Loss: 1.88746, F0 Loss: 6.82379, LM Loss: 1.36560 
INFO:2024-01-28 18:20:03,810: Epoch [1/1], Step [710/38250], Loss: 0.34665, Disc Loss: 0.00000, Dur Loss: 0.61920, CE Loss: 0.03579, Norm Loss: 1.65339, F0 Loss: 7.60534, LM Loss: 1.32857 
INFO:2024-01-28 18:20:17,913: Epoch [1/1], Step [720/38250], Loss: 0.33913, Disc Loss: 0.00000, Dur Loss: 0.98546, CE Loss: 0.05754, Norm Loss: 1.43462, F0 Loss: 5.49824, LM Loss: 1.42133
INFO:2024-01-28 18:20:31,654: Epoch [1/1], Step [730/38250], Loss: 0.35361, Disc Loss: 0.00000, Dur Loss: 0.69018, CE Loss: 0.03740, Norm Loss: 1.46949, F0 Loss: 5.03695, LM Loss: 1.41767
INFO:2024-01-28 18:20:45,735: Epoch [1/1], Step [740/38250], Loss: 0.33647, Disc Loss: 0.00000, Dur Loss: 0.89166, CE Loss: 0.04450, Norm Loss: 1.38533, F0 Loss: 4.28428, LM Loss: 1.31988
